"","taxon","X.out.mean.a1.1.n..","X.out.q2.5.a1.1.n..","X.out.q97.5.a1.1.n..","X.out.mean.a2.1.n..","X.out.q2.5.a2.1.n..","X.out.q97.5.a2.1.n..","X.out.mean.b3.1.n..","X.out.q2.5.b3.1.n..","X.out.q97.5.b3.1.n.."
"34","Omocestus viridulus",1.41,0.46,2.5,-0.96,-1.69,-0.32,-0.08,-0.5,0.34
"35","Pezotettix giornae",-4.06,-6.33,-2.04,-0.48,-1.24,0.38,0.25,-0.36,0.84
"36","Pholidoptera aptera",0.49,-1.28,2.47,-1.04,-2.01,-0.2,0.46,-0.22,1.17
"37","Pholidoptera fallax",-2.25,-4.25,-0.52,-0.99,-1.84,-0.26,0.51,-0.24,1.29
"38","Pholidoptera griseoaptera",-2.22,-4,-0.79,-0.54,-1.28,0.25,0.36,-0.35,1.15
"39","Platycleis albopunctata",-3,-4.64,-1.8,-0.71,-1.37,-0.01,-0.14,-0.47,0.19
"40","Podisma dechambrei",1.66,0.75,2.7,-0.57,-1.2,0.06,-0.53,-0.99,-0.13
"41","Podisma pedestris",0.37,-2.14,2.97,-0.9,-1.83,-0.03,0.12,-0.84,1.09
"42","Polysarcus denticauda",0.01,-1.86,2.09,-1.01,-2,-0.2,0.21,-0.6,0.97
"43","Pseudochorthippus parallelus",-0.79,-1.56,-0.11,-0.87,-1.43,-0.37,0.43,0.02,0.88
"44","Psophus stridulus",-0.89,-2.19,0.24,-0.96,-1.77,-0.29,0.29,-0.35,0.94
"45","Roeseliana roeselii",-1.33,-2.51,-0.32,-0.8,-1.46,-0.19,0.3,-0.18,0.85
"46","Sepiana sepium",-1.85,-4.21,0.42,-0.82,-1.68,-0.02,0.44,-0.4,1.27
"47","Stauroderus scalaris",-0.47,-1.03,0.09,-0.94,-1.41,-0.53,0.25,-0.03,0.56
"48","Stenobothrus cotticus",3.63,1.67,5.8,-0.52,-1.33,0.37,0.05,-0.76,0.88
"49","Stenobothrus lineatus",-1.05,-1.68,-0.48,-0.63,-1.06,-0.22,-0.13,-0.39,0.12
"50","Stenobothrus nigromaculatus",2.16,1.16,3.32,-1.04,-1.78,-0.39,-0.61,-1.05,-0.19
"51","Stenobothrus rubicundulus",-1.75,-4.49,0.63,-0.88,-1.8,-0.06,0.05,-0.94,1.06
"52","Tessellana tessellata",-2.94,-5.35,-0.72,-0.33,-1.11,0.52,0.41,-0.38,1.27
"53","Tettigonia cantans",-1.2,-2.91,0.34,-1.14,-2.15,-0.37,0.51,-0.18,1.23
"54","Tettigonia viridissima",-2.21,-4.11,-0.62,-0.98,-1.83,-0.26,0.56,-0.24,1.49
"55","Tylopsis lilifolia",-3.26,-5.71,-0.99,-0.21,-1.01,0.69,0.06,-0.85,0.92
"56","Yersinella beybienkoi",-2.9,-4.35,-1.55,-0.87,-1.54,-0.23,0.54,0.05,1.05
